"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 07 14:33:15 GMT 2023","Tue Nov 07 14:33:24 GMT 2023","9743","Google Chrome","","Login page tests","","","Check login with performance user",""
"passed","Tue Nov 07 14:32:29 GMT 2023","Tue Nov 07 14:32:53 GMT 2023","23713","firefox","","Login page tests","","","Check login with visual user",""
"passed","Tue Nov 07 14:32:54 GMT 2023","Tue Nov 07 14:33:08 GMT 2023","14584","firefox","","Scenarios","","","Check LOHI sorting",""
"passed","Tue Nov 07 14:33:09 GMT 2023","Tue Nov 07 14:33:14 GMT 2023","4645","Google Chrome","","Login page tests","","","Check login with standard user",""
"passed","Tue Nov 07 14:32:29 GMT 2023","Tue Nov 07 14:32:53 GMT 2023","23641","firefox","","Login page tests","","","Check login with locked user",""
"passed","Tue Nov 07 14:33:15 GMT 2023","Tue Nov 07 14:33:21 GMT 2023","5692","Google Chrome","","Scenarios","","","Check ZA sorting",""
"passed","Tue Nov 07 14:33:19 GMT 2023","Tue Nov 07 14:33:23 GMT 2023","4634","Google Chrome","","Scenarios","","","Check LOHI sorting",""
"passed","Tue Nov 07 14:33:14 GMT 2023","Tue Nov 07 14:33:19 GMT 2023","4749","Google Chrome","","Scenarios","","","Check AZ sorting",""
"passed","Tue Nov 07 14:32:54 GMT 2023","Tue Nov 07 14:33:09 GMT 2023","15164","firefox","","Scenarios","","","Check HILO sorting",""
"passed","Tue Nov 07 14:32:53 GMT 2023","Tue Nov 07 14:33:08 GMT 2023","14781","firefox","","Scenarios","","","Check ZA sorting",""
"passed","Tue Nov 07 14:33:17 GMT 2023","Tue Nov 07 14:33:24 GMT 2023","6925","Google Chrome","","Scenarios","","","Check add to cart scenario and checkout",""
"passed","Tue Nov 07 14:32:29 GMT 2023","Tue Nov 07 14:32:59 GMT 2023","30121","firefox","","Scenarios","","","Check add to cart scenario and go back",""
"passed","Tue Nov 07 14:32:53 GMT 2023","Tue Nov 07 14:33:08 GMT 2023","14635","firefox","","Scenarios","","","Check hamburger button",""
"passed","Tue Nov 07 14:33:15 GMT 2023","Tue Nov 07 14:33:19 GMT 2023","4634","Google Chrome","","Login page tests","","","Check login with error user",""
"passed","Tue Nov 07 14:32:29 GMT 2023","Tue Nov 07 14:32:56 GMT 2023","26731","firefox","","Login page tests","","","Check login with performance user",""
"passed","Tue Nov 07 14:33:15 GMT 2023","Tue Nov 07 14:33:21 GMT 2023","5994","Google Chrome","","Login page tests","","","Check login with visual user",""
"passed","Tue Nov 07 14:32:53 GMT 2023","Tue Nov 07 14:33:08 GMT 2023","15361","firefox","","Scenarios","","","Check AZ sorting",""
"passed","Tue Nov 07 14:33:11 GMT 2023","Tue Nov 07 14:33:15 GMT 2023","3457","Google Chrome","","Login page tests","","","Check login with problem user",""
"passed","Tue Nov 07 14:33:16 GMT 2023","Tue Nov 07 14:33:24 GMT 2023","7272","Google Chrome","","Scenarios","","","Check add to cart scenario and go back",""
"passed","Tue Nov 07 14:32:29 GMT 2023","Tue Nov 07 14:32:54 GMT 2023","24649","firefox","","Login page tests","","","Check login with problem user",""
"passed","Tue Nov 07 14:32:29 GMT 2023","Tue Nov 07 14:32:53 GMT 2023","24010","firefox","","Login page tests","","","Check login with standard user",""
"passed","Tue Nov 07 14:32:29 GMT 2023","Tue Nov 07 14:32:53 GMT 2023","24484","firefox","","Login page tests","","","Check login with error user",""
"passed","Tue Nov 07 14:32:29 GMT 2023","Tue Nov 07 14:33:01 GMT 2023","32167","firefox","","Scenarios","","","Check add to cart scenario and checkout",""
"passed","Tue Nov 07 14:33:23 GMT 2023","Tue Nov 07 14:33:25 GMT 2023","1941","Google Chrome","","Scenarios","","","Check hamburger button",""
"passed","Tue Nov 07 14:33:20 GMT 2023","Tue Nov 07 14:33:24 GMT 2023","4154","Google Chrome","","Scenarios","","","Check HILO sorting",""
"passed","Tue Nov 07 14:33:10 GMT 2023","Tue Nov 07 14:33:14 GMT 2023","3635","Google Chrome","","Login page tests","","","Check login with locked user",""
