"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 28 09:30:57 GMT 2024","Fri Jun 28 09:30:58 GMT 2024","833","Google Chrome","","Login page tests","","","Check login with error user",""
"passed","Fri Jun 28 09:30:38 GMT 2024","Fri Jun 28 09:30:49 GMT 2024","11281","firefox","","Login page tests","","","Check login with problem user",""
"passed","Fri Jun 28 09:30:38 GMT 2024","Fri Jun 28 09:30:51 GMT 2024","12901","firefox","","Scenarios","","","Check add to cart scenario and go back",""
"passed","Fri Jun 28 09:30:38 GMT 2024","Fri Jun 28 09:30:54 GMT 2024","16217","firefox","","Login page tests","","","Check login with performance user",""
"passed","Fri Jun 28 09:30:57 GMT 2024","Fri Jun 28 09:30:58 GMT 2024","889","Google Chrome","","Login page tests","","","Check login with visual user",""
"broken","Fri Jun 28 09:31:59 GMT 2024","Fri Jun 28 09:32:30 GMT 2024","30144","Google Chrome","","Scenarios","","","Check AZ sorting",""
"broken","Fri Jun 28 09:31:54 GMT 2024","Fri Jun 28 09:32:26 GMT 2024","31584","firefox","","Scenarios","","","Check LOHI sorting",""
"passed","Fri Jun 28 09:30:56 GMT 2024","Fri Jun 28 09:31:02 GMT 2024","6083","Google Chrome","","Login page tests","","","Check login with performance user",""
"broken","Fri Jun 28 09:32:00 GMT 2024","Fri Jun 28 09:32:30 GMT 2024","30213","Google Chrome","","Scenarios","","","Check ZA sorting",""
"passed","Fri Jun 28 09:30:55 GMT 2024","Fri Jun 28 09:30:57 GMT 2024","2087","Google Chrome","","Login page tests","","","Check login with standard user",""
"passed","Fri Jun 28 09:30:38 GMT 2024","Fri Jun 28 09:30:50 GMT 2024","11767","firefox","","Login page tests","","","Check login with visual user",""
"passed","Fri Jun 28 09:30:58 GMT 2024","Fri Jun 28 09:30:59 GMT 2024","1659","Google Chrome","","Scenarios","","","Check add to cart scenario and checkout",""
"broken","Fri Jun 28 09:32:01 GMT 2024","Fri Jun 28 09:32:31 GMT 2024","30162","Google Chrome","","Scenarios","","","Check LOHI sorting",""
"passed","Fri Jun 28 09:30:58 GMT 2024","Fri Jun 28 09:30:59 GMT 2024","1054","Google Chrome","","Scenarios","","","Check hamburger button",""
"passed","Fri Jun 28 09:30:38 GMT 2024","Fri Jun 28 09:30:48 GMT 2024","10164","firefox","","Login page tests","","","Check login with error user",""
"broken","Fri Jun 28 09:31:51 GMT 2024","Fri Jun 28 09:32:22 GMT 2024","31171","firefox","","Scenarios","","","Check AZ sorting",""
"broken","Fri Jun 28 09:31:51 GMT 2024","Fri Jun 28 09:32:22 GMT 2024","31191","firefox","","Scenarios","","","Check ZA sorting",""
"broken","Fri Jun 28 09:31:55 GMT 2024","Fri Jun 28 09:32:26 GMT 2024","31295","firefox","","Scenarios","","","Check HILO sorting",""
"passed","Fri Jun 28 09:30:56 GMT 2024","Fri Jun 28 09:30:57 GMT 2024","1091","Google Chrome","","Login page tests","","","Check login with problem user",""
"passed","Fri Jun 28 09:30:48 GMT 2024","Fri Jun 28 09:30:53 GMT 2024","5837","firefox","","Scenarios","","","Check hamburger button",""
"passed","Fri Jun 28 09:30:38 GMT 2024","Fri Jun 28 09:30:52 GMT 2024","14371","firefox","","Scenarios","","","Check add to cart scenario and checkout",""
"passed","Fri Jun 28 09:30:57 GMT 2024","Fri Jun 28 09:30:58 GMT 2024","1440","Google Chrome","","Scenarios","","","Check add to cart scenario and go back",""
"broken","Fri Jun 28 09:32:03 GMT 2024","Fri Jun 28 09:32:33 GMT 2024","30155","Google Chrome","","Scenarios","","","Check HILO sorting",""
"passed","Fri Jun 28 09:30:38 GMT 2024","Fri Jun 28 09:30:48 GMT 2024","10316","firefox","","Login page tests","","","Check login with locked user",""
"passed","Fri Jun 28 09:30:55 GMT 2024","Fri Jun 28 09:30:57 GMT 2024","1634","Google Chrome","","Login page tests","","","Check login with locked user",""
"passed","Fri Jun 28 09:30:38 GMT 2024","Fri Jun 28 09:30:48 GMT 2024","9764","firefox","","Login page tests","","","Check login with standard user",""
