"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 06 20:51:56 GMT 2023","Mon Nov 06 20:52:14 GMT 2023","17955","firefox","","Login page tests","","","Check login with visual user",""
"passed","Mon Nov 06 20:52:14 GMT 2023","Mon Nov 06 20:52:26 GMT 2023","12687","firefox","","Scenarios","","","Check AZ sorting",""
"passed","Mon Nov 06 20:51:56 GMT 2023","Mon Nov 06 20:52:21 GMT 2023","25257","firefox","","Scenarios","","","Check add to cart scenario and go back",""
"passed","Mon Nov 06 20:51:56 GMT 2023","Mon Nov 06 20:52:16 GMT 2023","20276","firefox","","Login page tests","","","Check login with error user",""
"passed","Mon Nov 06 20:51:56 GMT 2023","Mon Nov 06 20:52:23 GMT 2023","26721","firefox","","Scenarios","","","Check add to cart scenario and checkout",""
"passed","Mon Nov 06 20:51:56 GMT 2023","Mon Nov 06 20:52:13 GMT 2023","17767","firefox","","Login page tests","","","Check login with locked user",""
"passed","Mon Nov 06 20:52:14 GMT 2023","Mon Nov 06 20:52:25 GMT 2023","11638","firefox","","Scenarios","","","Check hamburger button",""
"passed","Mon Nov 06 20:51:56 GMT 2023","Mon Nov 06 20:52:15 GMT 2023","19026","firefox","","Login page tests","","","Check login with problem user",""
"passed","Mon Nov 06 20:52:29 GMT 2023","Mon Nov 06 20:52:34 GMT 2023","4295","Google Chrome","","Login page tests","","","Check login with standard user",""
"passed","Mon Nov 06 20:52:35 GMT 2023","Mon Nov 06 20:52:40 GMT 2023","5227","Google Chrome","","Scenarios","","","Check add to cart scenario and go back",""
"passed","Mon Nov 06 20:52:15 GMT 2023","Mon Nov 06 20:52:26 GMT 2023","11480","firefox","","Scenarios","","","Check ZA sorting",""
"passed","Mon Nov 06 20:52:32 GMT 2023","Mon Nov 06 20:52:37 GMT 2023","4630","Google Chrome","","Login page tests","","","Check login with error user",""
"passed","Mon Nov 06 20:52:34 GMT 2023","Mon Nov 06 20:52:38 GMT 2023","4484","Google Chrome","","Scenarios","","","Check ZA sorting",""
"passed","Mon Nov 06 20:52:29 GMT 2023","Mon Nov 06 20:52:33 GMT 2023","3838","Google Chrome","","Login page tests","","","Check login with locked user",""
"passed","Mon Nov 06 20:52:32 GMT 2023","Mon Nov 06 20:52:36 GMT 2023","3919","Google Chrome","","Login page tests","","","Check login with visual user",""
"passed","Mon Nov 06 20:52:31 GMT 2023","Mon Nov 06 20:52:39 GMT 2023","8063","Google Chrome","","Login page tests","","","Check login with performance user",""
"passed","Mon Nov 06 20:52:33 GMT 2023","Mon Nov 06 20:52:37 GMT 2023","3675","Google Chrome","","Scenarios","","","Check hamburger button",""
"passed","Mon Nov 06 20:51:56 GMT 2023","Mon Nov 06 20:52:20 GMT 2023","23823","firefox","","Login page tests","","","Check login with performance user",""
"passed","Mon Nov 06 20:52:16 GMT 2023","Mon Nov 06 20:52:28 GMT 2023","12474","firefox","","Scenarios","","","Check LOHI sorting",""
"passed","Mon Nov 06 20:51:56 GMT 2023","Mon Nov 06 20:52:16 GMT 2023","20063","firefox","","Login page tests","","","Check login with standard user",""
"passed","Mon Nov 06 20:52:34 GMT 2023","Mon Nov 06 20:52:40 GMT 2023","5697","Google Chrome","","Scenarios","","","Check add to cart scenario and checkout",""
"passed","Mon Nov 06 20:52:36 GMT 2023","Mon Nov 06 20:52:39 GMT 2023","3664","Google Chrome","","Scenarios","","","Check LOHI sorting",""
"passed","Mon Nov 06 20:52:30 GMT 2023","Mon Nov 06 20:52:34 GMT 2023","3649","Google Chrome","","Login page tests","","","Check login with problem user",""
"passed","Mon Nov 06 20:52:37 GMT 2023","Mon Nov 06 20:52:40 GMT 2023","2891","Google Chrome","","Scenarios","","","Check HILO sorting",""
"passed","Mon Nov 06 20:52:16 GMT 2023","Mon Nov 06 20:52:28 GMT 2023","11487","firefox","","Scenarios","","","Check HILO sorting",""
"passed","Mon Nov 06 20:52:34 GMT 2023","Mon Nov 06 20:52:38 GMT 2023","4575","Google Chrome","","Scenarios","","","Check AZ sorting",""
