"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 05 12:23:08 GMT 2023","Sun Nov 05 12:23:20 GMT 2023","12131","chromium","","Login page tests","","","Check login with performance user",""
"passed","Sun Nov 05 12:23:18 GMT 2023","Sun Nov 05 12:23:40 GMT 2023","22078","firefox","","Login page tests","","","Check login with performance user",""
"passed","Sun Nov 05 12:23:08 GMT 2023","Sun Nov 05 12:23:16 GMT 2023","7574","chromium","","Login page tests","","","Check login with visual user",""
"passed","Sun Nov 05 12:23:08 GMT 2023","Sun Nov 05 12:23:15 GMT 2023","7612","chromium","","Login page tests","","","Check login with standard user",""
"passed","Sun Nov 05 12:23:08 GMT 2023","Sun Nov 05 12:23:15 GMT 2023","7102","chromium","","Login page tests","","","Check login with locked user",""
"passed","Sun Nov 05 12:23:08 GMT 2023","Sun Nov 05 12:23:16 GMT 2023","7385","chromium","","Login page tests","","","Check login with error user",""
"passed","Sun Nov 05 12:23:18 GMT 2023","Sun Nov 05 12:23:37 GMT 2023","19033","firefox","","Login page tests","","","Check login with problem user",""
"passed","Sun Nov 05 12:23:18 GMT 2023","Sun Nov 05 12:23:37 GMT 2023","18710","firefox","","Login page tests","","","Check login with locked user",""
"passed","Sun Nov 05 12:23:18 GMT 2023","Sun Nov 05 12:23:37 GMT 2023","18703","firefox","","Login page tests","","","Check login with visual user",""
"passed","Sun Nov 05 12:23:08 GMT 2023","Sun Nov 05 12:23:25 GMT 2023","17072","firefox","","Login page tests","","","Check login with standard user",""
"passed","Sun Nov 05 12:23:08 GMT 2023","Sun Nov 05 12:23:15 GMT 2023","7153","chromium","","Login page tests","","","Check login with problem user",""
"passed","Sun Nov 05 12:23:08 GMT 2023","Sun Nov 05 12:23:16 GMT 2023","7662","chromium","","Login page tests","","","Check login with standard user",""
"passed","Sun Nov 05 12:23:18 GMT 2023","Sun Nov 05 12:23:38 GMT 2023","19604","firefox","","Login page tests","","","Check login with standard user",""
"passed","Sun Nov 05 12:23:18 GMT 2023","Sun Nov 05 12:23:36 GMT 2023","17748","firefox","","Login page tests","","","Check login with error user",""
